Register_Address,Register_Name,Value,Expected
0xC8,GPU7_EROT_SPI_ERROR,00,0x00
0xC9,GPU8_EROT_SPI_ERROR,00,0x00
0xCA,GPU_EROT_SPI_ERROR_INT_MASK,FF,0xff
0xCB,FPGA_EROT_SPI_ERROR,00,0x00
0xCC,FPGA_EROT_SPI_ERROR_INT_MASK,01,0x01
0xCD,HMC_EROT_SPI_ERROR,00,0x00
0xCE,NVSW1_EROT_SPI_ERROR,00,0x00
0xCF,NVSW2_EROT_SPI_ERROR,00,0x00
0xD0,NVSW3_EROT_SPI_ERROR,00,0x00
0xD1,NVSW4_EROT_SPI_ERROR,00,0x00
0xD2,PEXSW_EROT_SPI_ERROR,00,0x00
0xD3,DEV_EROT_SPI_ERROR_INT_MASK,3F,0x3f
0xD4,GPU_EROT_I2C_ACK_STATUS,FF,0xff
0xD5,DEV_EROT_I2C_ACK_STATUS,3F,0x3f
0xD6,I2C_MARGINING_CLK_PRESCALER,00,0x00
0xD7,I2C_MARGINING_CLK_PRESCALER_100K,00,0x00
0xD8,I2C_MARGINING_CLK_EN,00,0x00
0xD9,GPIO_INPUT10,00,0xff
0xDA,GPIO_INPUT11,3C,0x3c
0xDB,GPIO_OUTPUT26,07,0x07
0xDC,BMC_GPU_I2C1_PERI_ERROR_ADDR,00,0x4c
0xDD,BMC_GPU_I2C1_PERI_ERROR_CODE,00,0x07
0xDE,HMC_GPU_I2C3_PERI_ERROR_ADDR,00,0x00
0xDF,HMC_GPU_I2C3_PERI_ERROR_CODE,00,0x00
0xE0,BMC_NVSW_I2C2_PERI_ERROR_ADDR,1B,0x00
0xE1,BMC_NVSW_I2C2_PERI_ERROR_CODE,07,0x00
0xE2,HMC_NVSW_I2C4_PERI_ERROR_ADDR,00,0x00
0xE3,HMC_NVSW_I2C4_PERI_ERROR_CODE,04,0x00
0xE4,BMC_AER_I2C2_PERI_ERROR_ADDR,00,0x00
0xE5,BMC_AER_I2C2_PERI_ERROR_CODE,00,0x00
0xE6,HMC_AER_I2C4_PERI_ERROR_ADDR,00,0x00
0xE7,HMC_AER_I2C4_PERI_ERROR_CODE,00,0x00
0xE8,BMC_REGTBL_I2C1_PERI_ERROR_ADDR,31,0x31
0xE9,BMC_REGTBL_I2C1_PERI_ERROR_CODE,04,0x04
0xEA,BMC_REGTBL_I2C2_PERI_ERROR_ADDR,00,0x00
0xEB,BMC_REGTBL_I2C2_PERI_ERROR_CODE,00,0x00
0xEC,HMC_REGTBL_I2C3_PERI_ERROR_ADDR,00,0x00
0xED,HMC_REGTBL_I2C3_PERI_ERROR_CODE,00,0x00
0xEE,HMC_REGTBL_I2C4_PERI_ERROR_ADDR,00,0x00
0xEF,HMC_REGTBL_I2C4_PERI_ERROR_CODE,00,0x00
0xF0,BMC_LSIO_I2C1_PERI_ERROR_ADDR,00,0x00
0xF1,BMC_LSIO_I2C1_PERI_ERROR_CODE,00,0x00
0xF2,HMC_LSIO_I2C3_PERI_ERROR_ADDR,00,0x00
0xF3,HMC_LSIO_I2C3_PERI_ERROR_CODE,00,0x00
0xF4,BMC_NON_GPU_I2C2_PERI_ERROR_ADDR,60,0x60
0xF5,BMC_NON_GPU_I2C2_PERI_ERROR_CODE,07,0x0d
0xF6,HMC_NON_GPU_I2C4_PERI_ERROR_ADDR,33,0x00
0xF7,HMC_NON_GPU_I2C4_PERI_ERROR_CODE,04,0x00
0xF8,BMC_SMBPBI_FATAL_ERROR_CODE,00,0x00
0xF9,HMC_SMBPBI_FATAL_ERROR_CODE,00,0x00
0xFA,SMBPBI_FATAL_ERROR_INT,00,0x00
0xFB,SMBPBI_FATAL_ERROR_INT_MASK,00,0x00
